var1.pred,long,lat
0.285623552,-73.8546,40.58304
0.278593803,-73.8455,40.58304
0.274982857,-73.8364,40.58304
0.273990433,-73.8273,40.58304
0.274836213,-73.8182,40.58304
0.276817497,-73.8091,40.58304
0.279337004,-73.8,40.58304
0.281912754,-73.7909,40.58304
0.284443632,-73.7818,40.58304
0.286895256,-73.7727,40.58304
0.289136371,-73.7636,40.58304
0.291130164,-73.7545,40.58304
0.292908287,-73.7454,40.58304
0.294537531,-73.7363,40.58304
0.295388682,-73.7272,40.58304
0.295045694,-73.7181,40.58304
0.294046297,-73.709,40.58304
0.294082554,-73.6999,40.58304
0.042563593,-74.1731,40.58956
0.034236154,-74.164,40.58956
0.03985619,-74.1549,40.58956
0.045684163,-74.1458,40.58956
0.051052374,-74.1367,40.58956
0.055390329,-74.1276,40.58956
0.055406967,-74.1185,40.58956
0.047100164,-74.1094,40.58956
0.029461806,-74.1003,40.58956
0.007009879,-74.0912,40.58956
0.02984854,-74.0821,40.58956
0.087718097,-74.073,40.58956
0.147654266,-74.0639,40.58956
0.203013146,-74.0548,40.58956
0.252516022,-74.0457,40.58956
0.295442953,-74.0366,40.58956
0.331772325,-74.0275,40.58956
0.361888626,-74.0184,40.58956
0.388162269,-74.0093,40.58956
0.414320927,-74.0002,40.58956
0.443165681,-73.9911,40.58956
0.475273957,-73.982,40.58956
0.509416842,-73.9729,40.58956
0.537930663,-73.9638,40.58956
0.559439331,-73.9547,40.58956
0.575294201,-73.9456,40.58956
0.569474267,-73.9365,40.58956
0.517366615,-73.9274,40.58956
0.467019472,-73.9183,40.58956
0.42155765,-73.9092,40.58956
0.382154837,-73.9001,40.58956
0.348890817,-73.891,40.58956
0.321599675,-73.8819,40.58956
0.300187825,-73.8728,40.58956
0.28448893,-73.8637,40.58956
0.274089299,-73.8546,40.58956
0.268287437,-73.8455,40.58956
0.266179684,-73.8364,40.58956
0.266798065,-73.8273,40.58956
0.269228215,-73.8182,40.58956
0.272675119,-73.8091,40.58956
0.276483549,-73.8,40.58956
0.280137041,-73.7909,40.58956
0.283514147,-73.7818,40.58956
0.286585689,-73.7727,40.58956
0.289241851,-73.7636,40.58956
0.291486386,-73.7545,40.58956
0.293402429,-73.7454,40.58956
0.295103942,-73.7363,40.58956
0.295966621,-73.7272,40.58956
0.295636816,-73.7181,40.58956
0.294658677,-73.709,40.58956
0.294730935,-73.6999,40.58956
0.051203585,-74.1731,40.59608
0.045245922,-74.164,40.59608
0.048443999,-74.1549,40.59608
0.05410482,-74.1458,40.59608
0.059639889,-74.1367,40.59608
0.064100423,-74.1276,40.59608
0.064214195,-74.1185,40.59608
0.059204776,-74.1094,40.59608
0.050265274,-74.1003,40.59608
0.046621321,-74.0912,40.59608
0.070221767,-74.0821,40.59608
0.118253783,-74.073,40.59608
0.173667231,-74.0639,40.59608
0.227776625,-74.0548,40.59608
0.277246454,-74.0457,40.59608
0.320402389,-74.0366,40.59608
0.355634565,-74.0275,40.59608
0.382541546,-74.0184,40.59608
0.404103933,-74.0093,40.59608
0.426153013,-74.0002,40.59608
0.452796156,-73.9911,40.59608
0.484143758,-73.982,40.59608
0.51846184,-73.9729,40.59608
0.548744724,-73.9638,40.59608
0.568521285,-73.9547,40.59608
0.577254352,-73.9456,40.59608
0.56221074,-73.9365,40.59608
0.511725394,-73.9274,40.59608
0.458371261,-73.9183,40.59608
0.410328668,-73.9092,40.59608
0.369391518,-73.9001,40.59608
0.33513788,-73.891,40.59608
0.307222066,-73.8819,40.59608
0.285685394,-73.8728,40.59608
0.270496558,-73.8637,40.59608
0.261236223,-73.8546,40.59608
0.257053964,-73.8455,40.59608
0.256826979,-73.8364,40.59608
0.259380046,-73.8273,40.59608
0.263648721,-73.8182,40.59608
0.268748065,-73.8091,40.59608
0.273974229,-73.8,40.59608
0.278784295,-73.7909,40.59608
0.283045141,-73.7818,40.59608
0.28672955,-73.7727,40.59608
0.28975626,-73.7636,40.59608
0.292184239,-73.7545,40.59608
0.294166707,-73.7454,40.59608
0.295875997,-73.7363,40.59608
0.296695806,-73.7272,40.59608
0.296344592,-73.7181,40.59608
0.295387197,-73.709,40.59608
0.29552089,-73.6999,40.59608
0.063894341,-74.1731,40.6026
0.060424179,-74.164,40.6026
0.061955832,-74.1549,40.6026
0.066813382,-74.1458,40.6026
0.072602501,-74.1367,40.6026
0.07742201,-74.1276,40.6026
0.07967676,-74.1185,40.6026
0.07988553,-74.1094,40.6026
0.080339021,-74.1003,40.6026
0.088163154,-74.0912,40.6026
0.113065328,-74.0821,40.6026
0.155164485,-74.073,40.6026
0.205842226,-74.0639,40.6026
0.257885197,-74.0548,40.6026
0.307001376,-74.0457,40.6026
0.350623915,-74.0366,40.6026
0.384860352,-74.0275,40.6026
0.407727085,-74.0184,40.6026
0.422577814,-74.0093,40.6026
0.43873814,-74.0002,40.6026
0.462507347,-73.9911,40.6026
0.491560229,-73.982,40.6026
0.525543007,-73.9729,40.6026
0.557903123,-73.9638,40.6026
0.57328563,-73.9547,40.6026
0.569414231,-73.9456,40.6026
0.544794392,-73.9365,40.6026
0.497733456,-73.9274,40.6026
0.443822989,-73.9183,40.6026
0.394781117,-73.9092,40.6026
0.353679682,-73.9001,40.6026
0.319089229,-73.891,40.6026
0.290786377,-73.8819,40.6026
0.269283826,-73.8728,40.6026
0.254859722,-73.8637,40.6026
0.247120452,-73.8546,40.6026
0.245003622,-73.8455,40.6026
0.247080507,-73.8364,40.6026
0.251912047,-73.8273,40.6026
0.258270213,-73.8182,40.6026
0.265193296,-73.8091,40.6026
0.271947548,-73.8,40.6026
0.277975662,-73.7909,40.6026
0.283139662,-73.7818,40.6026
0.28740662,-73.7727,40.6026
0.290729276,-73.7636,40.6026
0.293241077,-73.7545,40.6026
0.295191748,-73.7454,40.6026
0.296825682,-73.7363,40.6026
0.297543711,-73.7272,40.6026
0.297139211,-73.7181,40.6026
0.296209358,-73.709,40.6026
0.296437065,-73.6999,40.6026
0.078624113,-74.1731,40.60912
0.076911589,-74.164,40.60912
0.078387178,-74.1549,40.60912
0.083061809,-74.1458,40.60912
0.089055971,-74.1367,40.60912
0.094968267,-74.1276,40.60912
0.100531959,-74.1185,40.60912
0.106305426,-74.1094,40.60912
0.114364763,-74.1003,40.60912
0.129013946,-74.0912,40.60912
0.155420728,-74.0821,40.60912
0.194485587,-74.073,40.60912
0.241724951,-74.0639,40.60912
0.29172936,-74.0548,40.60912
0.34072128,-74.0457,40.60912
0.385782451,-74.0366,40.60912
0.42017159,-74.0275,40.60912
0.438917917,-74.0184,40.60912
0.445761317,-74.0093,40.60912
0.453810318,-74.0002,40.60912
0.475040366,-73.9911,40.60912
0.498723064,-73.982,40.60912
0.531678867,-73.9729,40.60912
0.564808803,-73.9638,40.60912
0.574497871,-73.9547,40.60912
0.560624101,-73.9456,40.60912
0.529377521,-73.9365,40.60912
0.481246686,-73.9274,40.60912
0.425486975,-73.9183,40.60912
0.376134572,-73.9092,40.60912
0.336201357,-73.9001,40.60912
0.301457553,-73.891,40.60912
0.272631247,-73.8819,40.60912
0.251103657,-73.8728,40.60912
0.237631926,-73.8637,40.60912
0.231836835,-73.8546,40.60912
0.232307977,-73.8455,40.60912
0.237164513,-73.8364,40.60912
0.244627772,-73.8273,40.60912
0.253304679,-73.8182,40.60912
0.262189935,-73.8091,40.60912
0.270552462,-73.8,40.60912
0.277837668,-73.7909,40.60912
0.283904699,-73.7818,40.60912
0.288697784,-73.7727,40.60912
0.292204184,-73.7636,40.60912
0.294658657,-73.7545,40.60912
0.296447242,-73.7454,40.60912
0.297905686,-73.7363,40.60912
0.298461537,-73.7272,40.60912
0.297980678,-73.7181,40.60912
0.297098121,-73.709,40.60912
0.297462976,-73.6999,40.60912
0.094887773,-74.1731,40.61564
0.094659746,-74.164,40.61564
0.096778096,-74.1549,40.61564
0.101783275,-74.1458,40.61564
0.108234969,-74.1367,40.61564
0.116265556,-74.1276,40.61564
0.125268769,-74.1185,40.61564
0.136090008,-74.1094,40.61564
0.149578794,-74.1003,40.61564
0.16854581,-74.0912,40.61564
0.196498533,-74.0821,40.61564
0.234278607,-74.073,40.61564
0.279216397,-74.0639,40.61564
0.327550074,-74.0548,40.61564
0.376645455,-74.0457,40.61564
0.424134051,-74.0366,40.61564
0.461599614,-74.0275,40.61564
